run_id,condition_order,condition_id,condition_label,ability_group,switch_cost_condition,rho,switch_cost_s,rng_seed,learning_time,reward_rate,specialization_signed_x,specialization_abs_x,switching_parameter_a,agent1_pi_C,agent1_pi_W,agent2_pi_C,agent2_pi_W,agent1_rate_C,agent1_rate_W,agent2_rate_C,agent2_rate_W,agent1_mean_action_time,agent2_mean_action_time,model_specialization_index_rate,model_specialization_index_decision_fraction,specialization_index_walks_rate,specialization_index_walks_decision_fraction
1,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107665489615084,-0.0318673977612948,0.0318673977612948,2.598308521316654,0.5011035145445076,0.4988964854554924,0.4988964854554925,0.5011035145445075,0.4788210980471634,0.4767122082446545,0.4767122082446546,0.4788210980471633,1.04653599556958,1.04653599556958,0.0022070290890127,0.0022070290890129,0.0022070290890127,0.0022070290890129
2,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108177469821868,-0.4042738072372693,0.4042738072372693,2.541371530710792,0.515071809261021,0.4849281907389789,0.4849281907389789,0.515071809261021,0.4923870666964418,0.4635710304917438,0.4635710304917438,0.4923870666964418,1.046070955349777,1.046070955349777,0.0301436185220105,0.0301436185220119,0.0301436185220105,0.0301436185220119
3,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107600873427169,0.1422504195159841,0.1422504195159841,2.521537847326985,0.4946971265770324,0.5053028734229676,0.5053028734229676,0.4946971265770324,0.4728301300222467,0.4829670731956283,0.4829670731956283,0.4728301300222467,1.0462470455378063,1.0462470455378063,0.010605746845924,0.0106057468459245,0.010605746845924,0.0106057468459245
4,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107682084444354,-0.2424097102819781,0.2424097102819781,2.48476100381017,0.5093949558629067,0.4906050441370933,0.4906050441370933,0.5093949558629067,0.4869705792224982,0.469007829314308,0.469007829314308,0.4869705792224982,1.046048729835407,1.046048729835407,0.0187899117257937,0.0187899117257946,0.0187899117257937,0.0187899117257946
5,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107871153387228,-0.1242701989731311,0.1242701989731311,2.733977724893053,0.5037980840662294,0.4962019159337705,0.4962019159337706,0.5037980840662294,0.481215611344189,0.4739599372808198,0.4739599372808199,0.481215611344189,1.0469279719728135,1.0469279719728135,0.0075961681324508,0.0075961681324511,0.0075961681324508,0.0075961681324511
6,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107631270590444,-0.049700040005838,0.049700040005838,2.574226157488621,0.5017603424843483,0.4982396575156517,0.4982396575156517,0.5017603424843482,0.4794857593977362,0.4761213677492106,0.4761213677492106,0.4794857593977361,1.0464551504399011,1.0464551504399011,0.0035206849686928,0.0035206849686929,0.0035206849686928,0.0035206849686929
7,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107731489628704,0.0329677135809167,0.0329677135809167,2.643904121833942,0.498905878243746,0.501094121756254,0.501094121756254,0.4989058782437459,0.476655581288632,0.4787462331108301,0.4787462331108301,0.476655581288632,1.046680030253628,1.046680030253628,0.0021882435125057,0.0021882435125058,0.0021882435125057,0.0021882435125058
8,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107890953170332,0.067552854501273,0.067552854501273,2.79560316747173,0.4980545298946333,0.5019454701053668,0.5019454701053668,0.4980545298946332,0.4756442205721021,0.4793600852269593,0.4793600852269593,0.475644220572102,1.0471156977279703,1.0471156977279703,0.0038909402107294,0.0038909402107296,0.0038909402107294,0.0038909402107296
9,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108009723423832,0.2425536739258071,0.2425536739258071,2.7658416551814966,0.492762692598831,0.507237307401169,0.507237307401169,0.492762692598831,0.4706614128200755,0.4844868155042051,0.4844868155042051,0.4706614128200755,1.0469579174683783,1.0469579174683783,0.0144746148023228,0.0144746148023235,0.0144746148023228,0.0144746148023235
10,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107742474806092,-0.1407682827787791,0.1407682827787791,2.6082276006958227,0.5048417785064028,0.4951582214935973,0.4951582214935973,0.5048417785064028,0.4823923144571977,0.4731393689236374,0.4731393689236374,0.4823923144571977,1.0465377730457124,1.0465377730457124,0.0096835570127953,0.0096835570127958,0.0096835570127953,0.0096835570127958
