run_id,condition_order,condition_id,condition_label,ability_group,switch_cost_condition,rho,switch_cost_s,rng_seed,learning_time,reward_rate,specialization_signed_x,specialization_abs_x,switching_parameter_a
1,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107665489615083,-0.03186739776129488,0.03186739776129488,2.598308521316654
2,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108177469821869,-0.40427380723726936,0.40427380723726936,2.541371530710792
3,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107600873427169,0.1422504195159841,0.1422504195159841,2.521537847326985
4,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107682084444354,-0.24240971028197814,0.24240971028197814,2.48476100381017
5,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107871153387229,-0.12427019897313112,0.12427019897313112,2.7339777248930526
6,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107631270590444,-0.04970004000583802,0.04970004000583802,2.574226157488621
7,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107731489628705,0.032967713580916706,0.032967713580916706,2.643904121833942
8,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107890953170331,0.06755285450127306,0.06755285450127306,2.79560316747173
9,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108009723423832,0.24255367392580718,0.24255367392580718,2.7658416551814966
10,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107742474806092,-0.14076828277877915,0.14076828277877915,2.6082276006958227
11,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107588176357798,0.16155344835441213,0.16155344835441213,2.5034268675864535
12,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107934457958812,-0.14814643522195764,0.14814643522195764,2.7967727127227553
13,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107491072138343,-0.10096810954991997,0.10096810954991997,2.486929501522672
14,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107638715829236,0.00744721217749497,0.00744721217749497,2.5836430044042675
15,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107839282873594,0.053380914204711666,0.053380914204711666,2.7363086852223883
16,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107739665912323,-0.031645106643839266,0.031645106643839266,2.650341678696227
17,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107993224556912,0.27988548046606027,0.27988548046606027,2.664847005409759
18,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107781802297218,-0.19069896754570884,0.19069896754570884,2.59684915415184
19,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107310175077467,0.06928629462496463,0.06928629462496463,2.4222262091967144
20,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107797802970451,-0.08736662889815551,0.08736662889815551,2.682105262709939
21,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107889269137618,0.164877311313299,0.164877311313299,2.7178175690416944
22,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107724153379,-0.004038883966388924,0.004038883966388924,2.6408991172008593
23,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107616028257033,-0.08868290747587801,0.08868290747587801,2.554488988307514
24,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107975660632585,-0.2883498961953478,0.2883498961953478,2.629234395383368
25,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107710206824013,0.07519393043721441,0.07519393043721441,2.61801754721986
26,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107810993750659,0.1380041550437292,0.1380041550437292,2.6637931655248033
27,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107730879502001,0.13616097584810596,0.13616097584810596,2.60306879863759
28,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107081235494873,-0.15442427633332628,0.15442427633332628,2.3183141687304825
29,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108037194426191,0.25415689275566367,0.25415689275566367,2.7897795832322907
30,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107742837805625,0.09889019547431974,0.09889019547431974,2.6320266181193093
31,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9106175744873459,0.10963324977811627,0.10963324977811627,2.135502348002193
32,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107879814775329,-0.18580871905490076,0.18580871905490076,2.685095952048259
33,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108039457611286,0.28342714665000485,0.28342714665000485,2.7184703325798263
34,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.910765439470982,0.14753426634534364,0.14753426634534364,2.5478396381763266
35,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107757036142271,0.05216059540876852,0.05216059540876852,2.65991168153657
36,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107827056682485,0.09000905288680051,0.09000905288680051,2.7084536567986945
37,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107949498339816,0.3194844585913029,0.3194844585913029,2.5470084405263864
38,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108050706546293,-0.26937966856656786,0.26937966856656786,2.7754730087998847
39,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107804282258394,-0.0750598312028396,0.0750598312028396,2.6932869414317313
40,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107567711425467,0.07662590088092476,0.07662590088092476,2.5322626816341463
41,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107276093686896,-0.02469553999357316,0.02469553999357316,2.41656421294218
42,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.91077368365911,-0.30221906961028194,0.30221906961028194,2.4414957350147275
43,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107552137433204,-0.05673603051898446,0.05673603051898446,2.529295660837479
44,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107852659667588,-0.11716458341930366,0.11716458341930366,2.7186849067661045
45,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107488522201981,-0.12831710682052225,0.12831710682052225,2.474405491436824
46,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107591592818507,-0.0005792244193922082,0.0005792244193922082,2.556474094097566
47,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107121335094566,-0.04088009068027519,0.04088009068027519,2.36349003291711
48,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108093883439029,0.3911985608287155,0.3911985608287155,2.5015457103381267
49,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107847076502279,0.03735596627922584,0.03735596627922584,2.749416946162371
50,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107814970798139,0.012875773231381055,0.012875773231381055,2.718456523599365
51,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107672394447001,-0.21443842194906665,0.21443842194906665,2.506862851006833
52,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107582672402857,0.03810452229369118,0.03810452229369118,2.548752751355733
53,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.910760686225741,-0.0039843640912813946,0.0039843640912813946,2.5650124753677623
54,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107786753840588,-0.05472486747531338,0.05472486747531338,2.684310479970597
55,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107705826258424,-0.09576700652416745,0.09576700652416745,2.6071200211646746
56,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107876116681157,-0.045654852885946735,0.045654852885946735,2.7834100382464078
57,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107782808530281,0.010205418295097746,0.010205418295097746,2.6882447057809666
58,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107892492729549,-0.024378591101654988,0.024378591101654988,2.812296264539237
59,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107409054545061,0.035408092924500735,0.035408092924500735,2.466896295769423
60,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108013421668654,-0.16552174330500058,0.16552174330500058,3.0075095089625554
61,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107392197869474,0.17704489017186237,0.17704489017186237,2.408471548124977
62,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107810590762665,0.16023522215428654,0.16023522215428654,2.6460899919805962
63,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107337215107105,0.10964330731894192,0.10964330731894192,2.420430994857528
64,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107763162342247,0.01888898759118183,0.01888898759118183,2.670716867917663
65,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.910786088484462,-0.1928376114215668,0.1928376114215668,2.6590047107053665
66,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9107858182045603,0.103250420634994,0.103250420634994,2.733935796768023
67,1,rho1_low_s,"rho=1, low s",high ability,low,1.0,0.05,311000,170,0.9108011843676672,-0.29213615291580347,0.29213615291580347,2.661177861546639
